DataExtracao;Ano;Mes;CanalEntrada;Condicao;GrupoEconNorm;Tipo;Servico;Modalidade;Motivo;UF;QtdeSolic
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;14
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Instalação de Acessos Individuais;SE;4
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Instalação de Telefone de Uso Público - TUP;SE;1
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Planos de serviço;SE;1
2016-04-28;2006;1;Call Center;Nova;Outros;Reclamação;Móvel Pessoal;Pós-Pago;Atendimento;SE;2
2016-04-28;2006;1;Call Center;Nova;Outros;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Planos de serviço;SE;1
2016-04-28;2006;1;Call Center;Nova;Outros;Reclamação;TV por Assinatura;TV a Cabo;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Nova;Outros;Reclamação;TV por Assinatura;TV a Cabo;Reparo;SE;1
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Atendimento;SE;7
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;3
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;2
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Desbloqueio;SE;2
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Bloqueio;SE;2
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Promoções;SE;2
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Reparo;SE;1
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;3
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Planos de serviço;SE;3
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Bloqueio;SE;1
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Planos de serviço;SE;1
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;2
2016-04-28;2006;1;Atendimento Pessoal ;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;1
2016-04-28;2006;1;Atendimento Pessoal ;Reaberta;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cancelamento;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Denúncia;Radiochamada (Paging);NÃO APLICÁVEL;Interferência;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Pedido de Informação;Móvel Pessoal;Pós-Pago;Atendimento;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Pedido de Informação;Serviço Telefônico Fixo Comutado - STFC;Local;Bloqueio;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Pedido de Informação;Serviço Telefônico Fixo Comutado - STFC;Local;Código de acesso;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Sugestão;Móvel Pessoal;Pós-Pago;Código de acesso;SE;1
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Planos de serviço;SE;2
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Bloqueio;SE;1
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;7
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Completamento de Chamadas;SE;2
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Desbloqueio;SE;1
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;5
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cancelamento;SE;1
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Reparo;SE;4
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Longa Distância Internacional;Atendimento;SE;1
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;NÃO APLICÁVEL;Cartão Telefônico;SE;2
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Cancelamento;SE;3
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;2
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Promoções;SE;2
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Atendimento;SE;2
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;1
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Planos de serviço;SE;1
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Serviços Adicionais;SE;1
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Atendimento;SE;1
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Instalação;SE;2
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Reparo;SE;2
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;7
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Bloqueio;SE;4
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Reparo;SE;3
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Serviços Adicionais;SE;3
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Longa Distância Internacional;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Nova;Outros;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;2
2016-04-28;2006;1;Call Center;Nova;Outros;Reclamação;TV por Assinatura;TV a Cabo;Atendimento;SE;1
2016-04-28;2006;1;Call Center;Nova;Outros;Reclamação;TV por Assinatura;TV a Cabo;Cancelamento;SE;1
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Cancelamento;SE;2
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Habilitação;SE;4
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Atendimento;SE;6
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;2
2016-04-28;2006;1;Call Center;Nova;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Serviços Adicionais;SE;1
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Atendimento;SE;7
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Cancelamento;SE;7
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Clonagem;SE;2
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;21
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Habilitação;SE;4
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Serviços Adicionais;SE;2
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Atendimento;SE;2
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;1
2016-04-28;2006;1;Call Center;Reaberta;ALGAR;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Reparo;SE;1
2016-04-28;2006;1;Call Center;Reaberta;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Reaberta;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Serviços Adicionais;SE;2
2016-04-28;2006;1;Call Center;Reaberta;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;1
2016-04-28;2006;1;Call Center;Reaberta;OI;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Reaberta;OI;Reclamação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;1
2016-04-28;2006;1;Call Center;Reaberta;OI;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Promoções;SE;1
2016-04-28;2006;1;Call Center;Reaberta;OI;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Reparo;SE;1
2016-04-28;2006;1;Call Center;Reaberta;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Desbloqueio;SE;1
2016-04-28;2006;1;Call Center;Reaberta;Outros;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Instalação de Acessos Individuais;SE;1
2016-04-28;2006;1;Call Center;Reaberta;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Atendimento;SE;2
2016-04-28;2006;1;Call Center;Reaberta;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;2
2016-04-28;2006;1;Call Center;Reaberta;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Promoções;SE;1
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Cancelamento;SE;1
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Habilitação;SE;1
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Promoções;SE;1
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Reparo;SE;1
2016-04-28;2006;1;Call Center;Reencaminhada;Anatel;Denúncia;Radiodifusão (Rádio e TV);Rádio FM;Interferência;SE;2
2016-04-28;2006;1;Call Center;Reencaminhada;Anatel;Denúncia;Radiodifusão (Rádio e TV);Rádio FM;Programação;SE;1
2016-04-28;2006;1;Call Center;Reencaminhada;Anatel;Pedido de Informação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;1
2016-04-28;2006;1;Call Center;Reencaminhada;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Cancelamento;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;OI;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Promoções;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cancelamento;SE;2
2016-04-28;2006;1;Fale Conosco        ;Nova;Outros;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Habilitação;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;1
2016-04-28;2006;1;Fale Conosco        ;Reencaminhada;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Outros;SE;2
2016-04-28;2006;2;Atendimento Pessoal ;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Outros;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Outros;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Reaberta;OI;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Reaberta;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;1
2016-04-28;2006;2;Call Center;Nova;Anatel;Denúncia;Radioamador (PY);NÃO APLICÁVEL;Interferência;SE;1
2016-04-28;2006;2;Call Center;Nova;Anatel;Denúncia;Radiodifusão (Rádio e TV);Rádio FM;Outorga;SE;1
2016-04-28;2006;2;Call Center;Nova;Anatel;Pedido de Informação;Móvel Pessoal;Pós-Pago;Planos de serviço;SE;1
2016-04-28;2006;2;Call Center;Nova;Anatel;Pedido de Informação;Móvel Pessoal;Pré-Pago;Tarifas;SE;1
2016-04-28;2006;2;Call Center;Nova;Anatel;Sugestão;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;1
2016-04-28;2006;2;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;1
2016-04-28;2006;2;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Completamento de Chamadas;SE;1
2016-04-28;2006;2;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Desbloqueio;SE;1
2016-04-28;2006;2;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Promoções;SE;2
2016-04-28;2006;2;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Reparo;SE;1
2016-04-28;2006;2;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;1
2016-04-28;2006;2;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Desbloqueio;SE;1
2016-04-28;2006;2;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;6
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Promoções;SE;2
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Reparo;SE;2
2016-04-28;2006;1;Call Center;Nova;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Serviços Adicionais;SE;1
2016-04-28;2006;1;Call Center;Reaberta;Anatel;Pedido de Informação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Reaberta;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Planos de serviço;SE;2
2016-04-28;2006;1;Call Center;Reaberta;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Desbloqueio;SE;1
2016-04-28;2006;1;Call Center;Reaberta;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Instalação de Acessos Individuais;SE;3
2016-04-28;2006;1;Call Center;Reaberta;OI;Reclamação;Móvel Pessoal;Pós-Pago;Planos de serviço;SE;1
2016-04-28;2006;1;Call Center;Reaberta;OI;Reclamação;Móvel Pessoal;Pré-Pago;Clonagem;SE;1
2016-04-28;2006;1;Call Center;Reaberta;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;3
2016-04-28;2006;1;Call Center;Reaberta;Outros;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Reaberta;Outros;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Reparo;SE;1
2016-04-28;2006;1;Call Center;Reaberta;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Cancelamento;SE;1
2016-04-28;2006;1;Call Center;Reaberta;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Atendimento;SE;1
2016-04-28;2006;1;Call Center;Reaberta;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Cobrança;SE;2
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Atendimento;SE;2
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Clonagem;SE;1
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;6
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Reaberta;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Serviços Adicionais;SE;1
2016-04-28;2006;1;Call Center;Reencaminhada;Anatel;Denúncia;Rádio do Cidadão (PX);NÃO APLICÁVEL;Interferência;SE;1
2016-04-28;2006;1;Call Center;Reencaminhada;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Atendimento;SE;2
2016-04-28;2006;1;Call Center;Reencaminhada;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Reencaminhada;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Serviços Adicionais;SE;1
2016-04-28;2006;1;Call Center;Reencaminhada;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;NÃO APLICÁVEL;Cartão Telefônico;SE;1
2016-04-28;2006;1;Call Center;Reencaminhada;Outros;Reclamação;TV por Assinatura;TV a Cabo;Reparo;SE;2
2016-04-28;2006;1;Call Center;Reencaminhada;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cancelamento;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;OI;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Cancelamento;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;Outros;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Serviços Adicionais;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;Outros;Reclamação;TV por Assinatura;TV a Cabo;Cobrança;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;TIM;Reclamação;Móvel Pessoal;Pós-Pago;Serviços Adicionais;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Cancelamento;SE;1
2016-04-28;2006;1;Fale Conosco        ;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;1
2016-04-28;2006;1;Fale Conosco        ;Reaberta;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Bloqueio;SE;1
2016-04-28;2006;1;Fale Conosco        ;Reencaminhada;Anatel;Pedido de Informação;Limitado Privado;NÃO APLICÁVEL;Licença / Autorização;SE;1
2016-04-28;2006;1;Fale Conosco        ;Reencaminhada;Anatel;Pedido de Informação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;3
2016-04-28;2006;1;Fale Conosco        ;Reencaminhada;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;1
2016-04-28;2006;1;Fale Conosco        ;Reencaminhada;VIVO;Reclamação;Móvel Pessoal;Pré-Pago;Cancelamento;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Planos de serviço;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Reparo;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;1
2016-04-28;2006;2;Atendimento Pessoal ;Nova;VIVO;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;1
2016-04-28;2006;2;Call Center;Nova;Anatel;Elogio;Serviços da Anatel;Atendimento;Central de Atendimento;SE;1
2016-04-28;2006;2;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;3
2016-04-28;2006;2;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Reparo;SE;2
2016-04-28;2006;2;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Longa Distância Nacional;Cobrança;SE;2
2016-04-28;2006;2;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;NÃO APLICÁVEL;Cartão Telefônico;SE;1
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Bloqueio;SE;1
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;2
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Habilitação;SE;1
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Planos de serviço;SE;1
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Promoções;SE;2
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;1
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Cancelamento;SE;1
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Atendimento;SE;1
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cancelamento;SE;3
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Completamento de Chamadas;SE;1
2016-04-28;2006;2;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Reparo;SE;1
